Category,Code,Offence description,Statute
Violence Against the Person Sub ABH,10424,Assault on constable - Canals (Offences Act) 1840 (1964),
Violence Against the Person Sub ABH,10425,Assaulting a designated person or his assistant in the exercise of a relevant power,Serious Organised Crime and Police Act 2005 S.51 (1)&(4)
Violence Against the Person Sub ABH,10426,Assault on constable - Metropolitan Police Act 1861 s. 3 (1964-),
Violence Against the Person Sub ABH,10427,Assault on constable - Prevention of Crimes Act 1871 s. 12 (1964),
Violence Against the Person Sub ABH,10428,Assault on constable - Municipal Corporations Act 1882 s. 195 (1964),
Violence Against the Person Sub ABH,10430,Assault on constable: Offences against similar provisions in Local Acts,
Violence Against the Person Sub ABH,10431,Offences under Vagrancy Act 1824 SS.4 and 5,Vagrancy Act 1824 SS.4 and 5
Violence Against the Person Sub ABH,10433,Resisting or obstructing a constable in execution of duty - offences under the Police Act 1996,Police Act 1996 S.89(2)
Violence Against the Person Sub ABH,10435,Resisting or wilfully obstructing a designated person or his assistant in exercise of such power,Serious Organised Crime and Police Act 2005 S.51 (2)&(5)
Violence Against the Person Sub ABH,10436,Assaulting a member of a joint investigation team carrying out his functions as a member of that team,Serious Organised Crime and Police Act 2005 S.57 (2)&(4)
Violence Against the Person Sub ABH,10437,Obstructing a person in the exercise of any rights conferred by a warrant under S.66 - power to enter and seize documents,Serious Organised Crime and Police Act 2005 S.67 (3)&(4)
Violence Against the Person Sub ABH,10438,Resisting or wilfully obstructing a member of a joint investigation team carrying out his functions as a member of that team,Serious Organised Crime and Police Act 2005 S.57 (3)&(5)
Violence Against the Person Sub ABH,10439,Assaulting or obstructing a Customs or Revenue officer,Commissioners for Revenue and Customs Act 2005 SS.31 & 32
Violence Against the Person Sub ABH,10440,Assault: Offences against similar provisions in Local Acts,
Violence Against the Person Sub ABH,10500,Common assaults etc    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person Sub ABH,10501,Common assault and battery,Criminal Justice Act 1988 S.39
Violence Against the Person Sub ABH,10502,"Assaults to prevent sale of corn, Assaults to hinder seamen from working, Assaults upon County Court Officers, Assaults punishable under special enactments and not falling under other headings","Offences against the Person Act 1861 S.39, Offences against the Person Act 1861 S.40, County Courts Act 1984 S.14"
Violence Against the Person Sub ABH,10503,"Assaulting, resisting or obstructing a person assisting a constable",Police Act 1996 SS.89(1) and 89(2)
Violence Against the Person Sub ABH,10504,Assaulting a prisoner custody officer or custody officer (STC). Assaulting a custody officer,Criminal Justice Act 1991 S.90(1); Criminal Justice & Public Order Act 1994 S.13(1)
Violence Against the Person Sub ABH,10505,Resisting or wilfully obstructing a prisoner custody officer or custody officer (STC). Resisting or wilfully obstructing custody officer,Criminal Justice Act 1991 S.90(3); Criminal Justice & Public Order Act 1994 S.13(2)
Violence Against the Person Sub ABH,10506,Assaulting a court security officer,Criminal Justice Act 1991 S.78(1)
Violence Against the Person Sub ABH,10507,Resisting or wilfully obstructing a court security officer,Criminal Justice Act 1991 S.78(2)
Violence Against the Person Sub ABH,10508,"Assaulting a designated or accredited person, or person assisting him or her, in the execution of his or her duty",Police Reform Act 2002 S.41(1)
Violence Against the Person Sub ABH,10509,"Resisting or wilfully obstructing a designated or accredited person, or person assisting, in the execution of his or her duty",Police Reform Act 2002 S.41(2)
Violence Against the Person Sub ABH,10510,Assaulting a traffic officer,Traffic Management Act 2004 S.10(1)
Violence Against the Person Sub ABH,10511,Resisting or wilfully obstructing a traffic officer in the execution of his duty,Traffic Management Act 2004 S.10(2)
Violence Against the Person Sub ABH,10512,Assault a designated immigration officer exercising section 2 detention powers,UK Borders Act 2007 S.3(1)(b) & (2)
Violence Against the Person Sub ABH,10513,Assault an immigration officer,UK Borders Act 2007 S.22
Violence Against the Person Sub ABH,10514.0,Assault an NCA officer or a member of an NCA-led team acting or assisting in the exercise of an operational power,"Crime and Courts Act 2013 Sch 4 P.3(1)&(2), Sch 5 P.22(1)&(2)"
Violence Against the Person Sub ABH,10515.0,Resist or wilfully obstruct an NCA officer or a member of an NCA-lead team acting or assisting in the exercise of an operational power,"Crime and Courts Act 2013 Sch 4 P.3(3)&(4), Sch 5 P.21(1)&(2)"
Violence Against the Person Sub ABH,10516.0,Assault a supreme court security officer,Constitutional Reform Act 2005 51E(1)&(2)
Violence Against the Person Sub ABH,10517.0,Resist or wilfully obstruct a supreme court security officer,Constitutional Reform Act 2005 51E(4)&(5)
Violence Against the Person Sub ABH,10521,Assault a custody officer performing custodial duties at a contracted-out secure college,Criminal Justice and Courts Act 2015 S.Sch 10 para 14(1) & (2)
Violence Against the Person Sub ABH,10522,Resist / wilfully obstruct custody officer performing contracted-out functions at directly managed secure college,Criminal Justice and Courts Act 2015 S.Sch 10 para 23(1) & (2)
Violence Against the Person Sub ABH,10523,Assault custody officer performing contracted-out functions at directly managed secure college,Criminal Justice and Courts Act 2015 S.Sch 10 para 24(1) & (2)
Violence Against the Person Sub ABH,10524,Obstruct police / customs officer executing a drug-cutting agent search and seizure warrant,Serious Crime Act 2015 s.54(4)&(5)
Violence Against the Person Sub ABH,10525,Assault/resist or wilfully obstruct appropriate person acting in exercise of relevant power,"Crminal Finances Act 2017 S. 22(356A(1&2)), S. 23(453B(1&2)),  S. 25(453C(1))"
Violence Against the Person Sub ABH,11102,Failure to comply with control order made under Dogs Act 1871 S.2. Failure to comply with destruction order made under Dogs Act 1871 S.1(1)(a). Having custody of dog in breach of disqualification order,Dangerous Dogs Act 1989 S.1(3). S.1(3). S.1(6)
Violence Against the Person Sub ABH,11112,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(2)(a) & (7),Dangerous Dogs Act 1991 S.1(2)(a)
Violence Against the Person Sub ABH,11113,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(2)(b) & (7),Dangerous Dogs Act 1991 S.1(2)(b)
Violence Against the Person Sub ABH,11114,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(2)(c) & (7),Dangerous Dogs Act 1991 S.1(2)(c)
Violence Against the Person Sub ABH,11115,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(2)(d) & (7),Dangerous Dogs Act 1991 S.1(2)(d)
Violence Against the Person Sub ABH,11116,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(2)(e) & (7),Dangerous Dogs Act 1991 S.1(2)(e)
Violence Against the Person Sub ABH,11117,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(3) & (7),Dangerous Dogs Act 1991 S.1(3)
Violence Against the Person Sub ABH,11118,Offences in relation to dogs under Dangerous Dogs Act 1991 S.3(1),Dangerous Dogs Act 1991 S.3(1) [Not Aggravated Offences]
Violence Against the Person Sub ABH,11119,Offences in relation to dogs under Dangerous Dogs Act 1991 S.3(3),Dangerous Dogs Act 1991 S.3(3) [Not Aggravated Offences]
