Code,subcode,Offence description,Violent offence
19309,19309.0,"Contravention of direction prohibiting practitioner etc from possessing, supplying etc controlled drugs",No
19310,19310.0,"Contravention of direction prohibiting practitioner etc from prescribing, supplying etc controlled drugs",No
19311,19311.0,"Failure to comply with notice requiring information relating to prescribing, supply etc of drugs",No
19312,19312.0,"Giving false information in purported compliance with notice requiring information relating to prescribing, supply etc of drugs",No
19313,19313.0,Contravention of terms of licence or other authority (other than licence issued under regulations relating to addicts),No
19314,19314.0,Giving false information in purported compliance with obligation to give information imposed or by virtue of regulations,No
19315,19315.0,Giving false information or producing document etc containing false statement etc for the purpose of obtaining issue or renewal of a licence or other authority,No
19316,19316.0,Assisting in or inducing commission outside United Kingdom of an offence punishable under a corresponding law,No
19317,19317.0,"Obstructing exercise of powers of search etc or concealing books, drugs etc",No
19318,19318.0,Offences in relation to the unlawful importation or exportation of a drug which at the time the offence was committed were under Dangerous Drugs Acts 1965 and 1967 or the Drugs (Prevention of Misuse) Act 1964,No
19319,19319.0,Offences in relation to the unlawful importation of a drug controlled under Misuse of Drugs Act 1971,No
19320,19320.0,Offences in relation to the unlawful exportation of a drug controlled under Misuse of Drugs Act 1971,No
19321,19321.0,Delivering drugs to a person who does not produce the required statement,No
19322,19322.0,Delivering drugs to specified persons without obtaining required requisition or on a requisition which does not comply,No
19323,19323.0,Failure to furnish a requisition within 24 hours of undertaking,No
19324,19324.0,Delivering drugs to Matron or Master of foreign ship on a requisition which is not countersigned by a specified medical practitioner,No
19325,19325.0,Dispenser at hospital or nursing home supplying drugs to a Sister without obtaining a required requisition or without marking requisition or retaining requisition or Sister failing to keep a copy as specified,No
19326,19326.0,Issuing a prescription which does not comply with requirements,No
19327,19327.0,Supplying drugs on a prescription otherwise than in accordance with the requirements of regulation 16(1),No
19328,19328.0,Dispenser failing to mark due date of dispensing on a prescription or to retain it,No
19329,19329.0,Supplying drugs on prescription otherwise than in accordance with the directions as to instalments,No
19330,19330.0,"Supplying a drug in a container, which is not marked with the details of the contents as required under this regulation",No
19331,19331.0,Authorised person failing to keep a proper register showing particulars of drugs obtained by him or supplied by him or failing to keep separate registers for different drugs,No
19332,19332.0,Master of ship or manager of offshore installation failing to keep register or in accordance with Regs 21(1) and (2) to make an entry in the logbook of drugs supplied by him,No
19333,19333.0,"Authorised person failing to comply with additional requirements concerning the keeping of registers as set out in paragraphs (a) to (e), (g) to (h) of this regulation",No
19334,19334.0,"Person failing to furnish particulars of drug obtained, supplied or held by him or failing to produce stock of drugs or register or other relevant documents",No
19335,19335.0,Failure by Midwife to record in a book particulars of drugs obtained or administered by her,No
19336,19336.0,"Failure to preserve registers, books, requisitions, orders or prescriptions for a period of 2 years",No
19337,19337.0,Producer or wholesaler of Schedule 1 drugs failing to keep invoices for drugs obtained or supplied by him; retailer failing to keep invoices of such drugs obtained by him; any such person failing to preserve invoices for 2 years,No
19338,19338.0,Destruction of a drug other than in the presence of or in accordance with directions given by an authorised person,No
19339,19339.0,Failure to record particulars concerning the destruction of drugs and have records signed by authorised person,No
19340,19340.0,Master or owner of ship or manager of offshore installation unlawfully destroying or causing drugs to be destroyed,No
19341,19341.0,"Failure to preserve for a period of 2 years registers, records, books, prescriptions or other documents required to be preserved under Regulation 26 of Dangerous Drugs (no2) Regs 1964",No
19342,19342.0,Occupier or manager of premises failing to keep drugs in a locked store which complies with specifications set out in Schedule 2 or with terms of certificate issued by the police,No
19343,19343.0,"Failure to keep drugs which are kept otherwise than in a locked store, in a locked receptacle",No
19344,19344.0,Offences under Intoxicating substances (Supply) Act 1985 S.1,No
19346,19346.0,Supply etc of articles for administering or preparing controlled drugs,No
19347,19347.0,Failure to comply with a pre-sentence Drug Testing Order,No
19348,19348.0,Failure to provide a sample,No
19349,19349.0,Obstructing a constable etc. acting under S.1(6) or S.3(2) - serving closure notice - Anti-social Behaviour Act 2003,No
19350,19350.0,Remaining on premises in respect of which a closure notice has been made,No
19351,19351.0,Entering premises in respect of which a closure notice has been made,No
19352.0,19352.0,Remaining on or entering premises in contravention of a closure notice issued by a constable or authorised person,No
19353,19353.0,Failure to attend or stay for the duration of an initial assessment following test for class A drug,No
19354,19354.0,Failure to attend or stay for the duration of a follow up assessment following test for class A drug,No
19355,19355.0,Failure to comply with any requirement of intervention order,No
19391,19391.0,Offences against the Dangerous Drugs Act 1965 and 1967,No
19392,19392.0,Offences against the Drugs (Prevention of Misuse) Act 1964,No
19400,19400.0,"Immigration Act, offences against    [Use this code only if you are unable to determine which subcoded Offence applies]",No
19401,19401.0,Non-citizen entering United Kingdom in breach of deportation order,No
19402,19402.0,Non-citizen entering United Kingdom without leave,No
19403,19403.0,Non-citizen having only a limited leave remaining in United Kingdom beyond the time limit,No
19404,19404.0,Non-citizen failing to observe conditions of leave,No
19405,19405.0,Non-citizen who enters United Kingdom as a member of a crew of a ship or aircraft and who is required to leave on the ship or aircraft remaining in the United Kingdom beyond the time allowed,No
19406,19406.0,Non-citizen failing to comply with requirements to report to a medical officer or to submit to a test or examination required by such an officer,No
19407,19407.0,Non-citizen failing to observe any restrictions as to residence or to reporting to police or an immigration officer,No
19408,19408.0,Non-citizen disembarking in the United Kingdom from a ship or aircraft after being placed on board with a view to removal from United Kingdom,No
19409,19409.0,Non-citizen embarking in contravention of a restriction imposed by Order in Council,No
19410,19410.0,Knowingly facilitates (or assists) the entry of an illegal entrant (or person believed to be an illegal entrant),No
19411,19411.0,Knowingly harbouring an illegal entrant (or person believed to be an illegal entrant),No
19412,19412.0,Knowingly harbouring a non-citizen who has remained in United Kingdom beyond the time allowed or who has failed to observe a condition of the leave,No
19413,19413.0,Refusing or failing without reasonable excuse to submit to an examination by an immigration officer,No
19414,19414.0,Refusing or failing without reasonable excuse to submit to an examination by a medical inspector,No
19415,19415.0,Refusing or failing without reasonable excuse to produce documents or information to immigration officer or medical inspector,No
19416,19416.0,"Making false statement, return or representation to an immigration officer etc.",No
19417,19417.0,"Without authority altering any certificate of partiality, entry clearance, work permit or other document made under or for the purpose of the Immigration Act 1971",No
19418,19418.0,"Having possession of any passport, certificate of partiality, entry clearance, work permit or other document made under, or for the purpose of the Immigration Act 1971 which is known or is reasonably believed to be false",No
19419,19419.0,Without reasonable excuse failing to complete and produce a landing or embarkation card,No
19420,19420.0,Alien without reasonable excuse failing to register with police,No
19421,19421.0,Alien without reasonable excuse failing to produce documents or furnish information when registering,No
19422,19422.0,Failing to provide for records to be made and kept of persons staying at hotels and other premises lodging or sleeping accommodation is provided,No
19423,19423.0,Failing to supply necessary information for the purpose of records of persons staying at hostels and other premises where lodging or sleeping accommodation is provided,No
19424,19424.0,Offences in connection with the issue of certificate of registration - Immigration Act 1971,No
19425,19425.0,Offences in connection with the production of certificates of registration - Immigration Act 1971,No
19426,19426.0,Offences in connection with the payment of fees for certificates of registration - Immigration Act 1971,No
19427,19427.0,Without reasonable excuse obstructing an immigration officer or other person lawfully acting in the execution of the Immigration Act 1971,Yes
19428,19428.0,Captain of a ship or aircraft knowingly permitting a person to disembark when required to prevent it,No
19429,19429.0,"Captain of a ship or aircraft failing, without reasonable excuse, to take the proper procedure in connection with the disembarkation or examination of passengers or for furnishing a passenger list or particulars of the crew",No
19430,19430.0,"Captain of a ship or aircraft failing, without reasonable excuse, to comply with a direction given in respect of the removal of a person from the United Kingdom",No
19431,19431.0,Owner or agent of a ship or aircraft arranging or being knowingly concerned in any arrangement for a ship or aircraft to call at a port other than a port of entry,No
19432,19432.0,"Owner or agent of a ship or aircraft failing, without reasonable excuse, to supply passengers with landing or embarkation cards",No
19433,19433.0,"Owner or agent of a ship or aircraft failing, without reasonable excuse, to make arrangements for the removal of a person from the United Kingdom when required to do so",No
19434,19434.0,Owner or agent of a ship or aircraft or a person concerned in the management of a port failing without reasonable excuse to take the proper procedure required in relation to the embarkation or disembarkation of passengers where a control area is designated,No
19435,19435.0,Employing a person subject to immigration control who has attained the age of 16,No
19437,19437.0,Giving false information with a view to obtaining assistance under Part VI (support for asylum seekers) for himself or any other person - Immigration and Asylum Act 1999,No
19438,19438.0,Obstruction of a person carrying out functions under Part VI or failure to give information when required by the Act - Immigration and Asylum Act 1999,No
19439,19439.0,Deliberate failure or refusal of a sponsor to maintain an immigrant so that that person has to rely on support arrangements created under Part VI - Immigration and Asylum Act 1999,No
19440,19440.0,Failure to attend or give evidence or produce documents before an adjudicator or tribunal and failure to comply with the requirements,No
19441,19441.0,Obtaining a certificate of authorisation by false pretences - Immigration and Asylum Act 1999,No
19442,19442.0,Assaulting a detainee custody officer,Yes
19443,19443.0,Wilfully obstructing a detainee custody officer,Yes
19444,19444.0,Bringing or attempting to bring in alcohol or placing alcohol anywhere outside a detention centre or allowing alcohol to be sold or used in the centre,No
19445,19445.0,Conveying or attempting to convey anything into or out of the detention centre or placing anything anywhere outside a detention centre intending it to come into the possession of a detained person,No
19446,19446.0,Immigrant failing without reasonable excuse to submit to a medical examination,No
19447,19447.0,"Failure to comply with a requirement imposed in accordance with rules under 106(4) to attend before an adjudicator or the Tribunal, to give evidence or to produce a document - Nationality, Immigration & Asylum Act 2002",No
19448,19448.0,"Without reasonable excuse failing to comply with S.136(3); to provide the Secretary of State with the information specified in the 'Notice' - Nationality, Immigration & Asylum Act 2002",No
19449,19449.0,"Withholding or withdrawal of support - Nationality, Immigration & Asylum Act 2002",No
19450,19450.0,Obstruction of Immigration Service commissioner in the exercise of a power by virtue of S.38 - Asylum & Immigration (Treatment of Claimants) Act 2004,Yes
19451,19451.0,Advertising of offering to provide immigration advice or services when unqualified,No
19452,19452.0,"Failure to comply with a requirement to provide information under SS.32 (2) or (3)(passenger and crew information) and S.33(2) (Freight information) - Immigration, Asylum and Nationality Act 2006",No
19453,19453.0,"Absconding from detention etc - Immigration, Asylum and Nationality Act 2006",No
19454,19454.0,"Obstructing or assaulting authorised person exercising powers under S.40 Immigration, Asylum and Nationality Act 2006",No
19455,19455.0,Employing Accession State national subject to worker authorisation in accession period not holder of authorisation document,No
19456,19456.0,Accession State national subject to worker authorisation working in UK during accession period - Accession (Immigration and Worker Authorisation) Regulations 2006,No
19457,19457.0,Obtaining or seeking to obtain an accession worker card by means including deception,No
19458,19458.0,Accession State national subject to worker authorisation work in UK during accession period work in breach of conditions,No
19459,19459.0,Obtaining or seeking to obtain an accession worker card by means including deception,No
19460,19460.0,Abscond from a designated immigration officer having been detained under section 2 - UK Borders Act 2007,No
19461,19461.0,Obstruct a designated immigration officer exercising section 2 detention powers - UK Borders Act 2007,Yes
19462.0,19462.0,Impersonate or make a statement or do an act suggesting you are or have powers of an NCA officer acting or assisting in the exercise of an operational power,No
19500,19500.0,Other Offences    [Use this code only if you are unable to determine which subcoded Offence applies],No
19501,19501.0,Offences under Civil Aviation Act 1982,No
19502,19502.0,Offences under Children Act 1989 S.49,No
19503,19503.0,Summary offences under Ecodesign for Energy-Related Products Regulations 2010,No
19504,19504.0,Offences under Companies Acts 1948 to 1989,No
19505,19505.0,Offences under Children Act 1989 S.50,No
19506,19506.0,Offences under Electric Lighting Act 1882 (except S.22),No
19507,19507.0,Offences under Child Benefit Act 1975 S.11,No
19508,19508.0,Offences under Criminal Justice & Public Order Act 1994 S.60,No
19509,19509.0,Offences under Gas Acts 1965 and 1986,No
19510,19510.0,Without authority sell an Olympic games ticket,No
19511,19511.0,Failure to attend etc. an inquiry into matters connected with NCIS,No
19512,19512.0,Pursue course of conduct in breach of S.1(1) which amounts to stalking - Protection from Harassment Act 1997,Yes
19513,19513.0,Offences under Medical Act 1956 and Medical Act 1983 S 49,No
19514,19514.0,Offences under National Service Act 1948,No
19515,19515.0,"Offences under Political Parties, Elections and Referendums Act 2000",No
19516,19516.0,Offences under Pharmacy Act 1954 S 20 and Poisons Act 1972,No
19517,19517.0,Offences under Mental Health Act 1959 S.20 and Mental Health Act 1983 SS.103 & 129,No
19518,19518.0,Offences under Criminal Justice & Police Act 2001 S.36(3),No
19519,19519.0,Having folding pocket knife with blade the cutting edge of which exceeds 3 inches in public place,Yes
19520,19520.0,Offences under Restriction of Offensive Weapons Act 1959 and Criminal Justice Act 1988 S.141,Yes
19521,19521.0,Offences under Magistrates' Courts Act 1980 (except S.106)(including SS.4-8C as amended by Criminal Justice & Public Order Act 1994 S.44 Sch.4). Justice of the Peace Act 1361,No
19522,19522.0,"Selling to a person under age of 18 years a knife, knife blade, razor blade, axe or any other article which has a blade, that is sharply pointed and which is made or adapted for use for causing injury to the person",Yes
19523,19523.0,"Offences under Criminal Justice & Police Act 2001 S.42(7), (7A)&(7B) as added by Serious Organised Crime and Police Act 2005 S.127",No
19524,19524.0,Offences under Postal Services Act 2000 S.84,No
19525,19525.0,Offences under Statistics of Trade Act 1947,No
19526,19526.0,Offences under Public Libraries and Museums Act 1964,No
19527,19527.0,All other offences under Road Traffic Act 1988 not connected with driving motor vehicles,No
19528,19528.0,Regulations made under Health & Social Care Act 2001 S.60(2)(d),No
19529,19529.0,Offences under Hull Dock Byelaws,No
19530,19530.0,Offences under Port of London Dock Byelaws,No
19531,19531.0,Offences under Port of London Authority Byelaws,No
19532,19532.0,Offences under Protection of Depositors Act 1963,No
19533,19533.0,Offences under Agriculture and Horticulture Act 1964,No
19534,19534.0,Offences under Scrap Metal Dealers Act 1964,No
19535,19535.0,Intentionally obstructing officer of enforcement authority acting in pursuance of regulations - Consumer Protection from Unfair Trading Regulations 2008. Intentionally failing to comply with requirement by officer of enforcement authority under R.21 - Consumer Protection from Unfair Trading Regulations 2008. Failure to give officer of enforcement authority assistance or information reasonably required for performance of functions - Consumer Protection from Unfair Trading Regulations 2008,No
19536.0,19536.0,Scrap metal dealer pay for scrap metal other than by cheque or electronic transfer of funds,No
19538,19538.0,Offences under Cemeteries Clauses Act 1847,No
19539,19539.0,Offences under Ecclesiastical Courts Jurisdiction Act 1860,No
19540,19540.0,Offences under Telecommunications Act 1984 - all summary offences except S.43,No
19541,19541.0,Offences under Malicious Communications Act 1988 S.1,Yes
19542,19542.0,Offences under Landlord and Tenant Act 1985,No
19543,19543.0,Summary offences under Midland Metro System Byelaws 1999,No
19544,19544.0,Failure to remove item worn by him when required to do so by a constable in the exercise of his powers under S.60AA. - Criminal Justice and Public Order Act 1994,No
19545,19545.0,"Contravention of Heathrow Airport byelaws (Heathrow Airport Byelaws 1996), Contravention of Luton Airport Byelaws (Luton Airport Byelaws), Contravention of Stanstead Airport Byelaws (Stansted Airport Byelaws 1996)",No
19546,19546.0,Conveyance etc. of List C articles into or out of prison,No
19547,19547.0,Offences under Prevention of Fraud (Investments) Act 1958,No
19548,19548.0,Failing to comply with requirement imposed under disclosure order - Proceeds of Crime Act 2002; Financial institution failing to comply with requirement imposed under Customer Information Order,No
19549,19549.0,Offences under Manchester Ship Canal byelaws,No
19550,19550.0,Offences under Refuse Disposal (Amenity) Act 1978,No
19551,19551.0,Offences under Telecommunications Act 1984 S.43 as amended by the Criminal Justice and Public Order Act 1994 S.92,No
19552,19552.0,Falsification etc of certificates of criminal records and convictions,No
19553,19553.0,Causing wasteful employment of the police etc,No
19554,19554.0,Offences under Disability Discrimination Act 1995 and regulations made under it (Summary Offences),No
19555,19555.0,Failure to comply with any requirement of Reparation Order,No
19556,19556.0,Failure to comply with any requirement of Action Plan Order,No
19557,19557.0,Offences under Trade Descriptions Act 1968 S.29 (other than false statements),No
19558,19558.0,Offences under Insurance Companies Act 1982 S.71(3),No
19559,19559.0,Offences under Computer Misuse Act 1990 S.1,No
19560,19560.0,Breach of supervision requirements of Detention and Training Order,No
19561,19561.0,Offences under Protection from Eviction Act 1977 S 7,No
19562,19562.0,Offences under Airports Act 1986 S.63,No
19563,19563.0,Offences under Criminal Law Act 1977 S.6 as amended by Criminal Justice & Public Order Act 1994 S.72,No
19564,19564.0,Offences under Caravan Sites Act 1968 S.10,No
19565,19565.0,Disclosure of information provided on Certificates of Criminal Records,No
19566,19566.0,Breach of licence conditions by short term prisoner,No
19567,19567.0,Failure by young offender to comply with supervision requirements after release from custodial sentence,No
19568,19568.0,Offences under Criminal Justice Act 1991 S.20(2),No
19569,19569.0,Offences under Criminal Justice Act 1991 SS.20(3) & 20A as added by Criminal Justice & Public Order Act 1994 S.168 Sch.9(43),No
19570,19570.0,Summary offences under Town and Country Planning Act 1990 SS.65 & 181,No
19571,19571.0,Failure to comply with planning contravention notice,No
19572,19572.0,False or misleading statements purporting to comply with requirements of a planning contravention notice,No
19573,19573.0,Failure to comply with breach of condition notice,No
19574,19574.0,Wilfully obstructing person acting in exercise of right of entry,No
19575,19575.0,Contravention of provisions of tree preservation order,No
19576,19576.0,"Summary offences under Town and Country Planning Act 1990 SS.214D, 216(1-5), 224(1-3) and 330(4)",No
19577,19577.0,Wilful obstruction of authorised person (rights of entry),No
19578,19578.0,Offences under Treasure Act 1996 S.(1)(3),No
19579,19579.0,Failure to comply with conditions specified on licence (release following recall to prison),No
19580.0,19580.0,Selling or hiring a crossbow or part of a crossbow to person under the age of 18,No
19581,19581.0,Person under the age of 18 buying or hiring a crossbow or part of crossbow,Yes
19582,19582.0,Person under the age 18 having a crossbow or component parts of a crossbow,Yes
19583,19583.0,Offences under Party Wall etc. Act 1996,No
19584,19584.0,Offences under Housing Act 1996,No
19585,19585.0,Power of Justice to take depositions; witness refusing to have his evidence taken as a deposition or to produce the document or other exhibit,No
19586,19586.0,Conspiring in the UK to commit crimes overseas - summary offences.,No
19587,19587.0,With intent to deceive issuing a document which purports to be issued by a person on a list of approved air cargo agents maintained under S.21F(2)(a) - Aviation Security Act 1982,No
19588,19588.0,"Summary offences under Copyright, Designs and Patents Act 1988",No
19589,19589.0,Summary Offences under Trade Marks Act 1994,No
19590,19590.0,Unauthorised person selling or otherwise disposing of tickets for a designated football match,Yes
19591,19591.0,Impersonation of member of police force or special constable,No
19592,19592.0,Wearing any article of police uniform with intent to deceive,No
19593,19593.0,Possession of any article of police uniform gained unlawfully,No
19594,19594.0,Offence of harassment,Yes
19599,19599.0,Other Offences (Specify offence and Act and Section under which proceedings were taken.),No
19600.0,19600.0,Other Offences    [Use this code only if you are unable to determine which subcoded Offence applies],No
19601,19601.0,Contravening a prohibition imposed by fireworks regulations,No
19602,19602.0,Failure to comply with a requirement imposed in or under fireworks regulations to give or not give information,No
19603,19603.0,A financial institution without reasonable excuse failing to comply with a requirement imposed on it under a customer information order,No
19604,19604.0,Failure to deliver driving licence or counterpart to appropriate Minister within 21 days.,No
19605,19605.0,All summary offences under the Postal Services Act 2000 excluding S.84,No
19606,19606.0,All summary offences under Consumer Credit Act 1974,No
19607,19607.0,Improper use of public electronic communications network,Yes
19608,19608.0,All summary offences under Communications Act 2003 (except S.363),No
19610,19610.0,"All summary offences under Criminal Justice Act 1992 S.24(2A),(2B)&(2C) as added by Courts Act 2003 S.96",No
19611,19611.0,All summary offences under Courts Act 2003 Sch.5,No
19612,19612.0,All summary offences under Criminal Justice Act 2003 (except S.83),No
19613,19613.0,Breach of Individual Support Orders,No
19614,19614.0,Offences in relation to reporting Crime & Disorder Act 1998 S.52B as added by Criminal Justice Act 2003 Sch.3,No
19615,19615.0,Contravention of a direction given by a constable under Section 30(4) [dispersal of groups & removal of persons under 16 to their place of residence] - Anti-social Behaviour Act 2003,No
19616,19616.0,Without reasonable excuse permitting premises to be open in contravention of closure order,No
19617,19617.0,Selling aerosol paint container to a person under 16 years,No
19618,19618.0,Summary offences under Nursing and Midwifery Order 2001 Article 44,No
19619,19619.0,Failure to take action in accordance with remedial notice Anti-social Behaviour Act 2003 S.75(1),No
19620,19620.0,Failure to comply with remedial notice is continuing Anti-social Behaviour Act 2003 S.75(7) and (9),No
19621,19621.0,After conviction under S.75(9) person still fails to comply with remedial order Anti-social Behaviour Act 2003 S.75(10),No
19622,19622.0,Wilful obstruction of a person acting in the exercise of powers under Section 84 to enter land and take action Anti-social Behaviour Act 2003 S.77,No
19623,19623.0,Failure to furnish the Commissioners with evidence of destination to which cultural objects were delivered,No
19624.0,19624.0,Obstruction of person acting in the exercise of the powers under Section 74 (powers of entry for purposes of complaints and appeals) - Anti-social Behaviour Act 2003,No
19625,19625.0,Summary offences under Common Agricultural Policy (Protection of Community Arrangements) Regulations 1992,No
19626,19626.0,Summary offences under The Horse Passports (England) Regulations 2004,No
19627,19627.0,Entering into arrangements with gangmasters,No
19628,19628.0,Summary offences under Adoption Act 1976,No
19629,19629.0,Summary offences under Adoption and Children Act 2002,No
19630,19630.0,Summary offences under Fire and Rescue Services Act 2004,No
19631,19631.0,Impersonating a traffic officer,No
19632,19632.0,Regulations made under S.80 - Traffic Management Act 2004,No
19633,19633.0,All other summary offences under Human Tissue Act 2004 (except SS.32 & 33),No
19634,19634.0,Restriction on transplants involving a live donor,No
19635,19635.0,Prohibition of commercial dealings in human material for transplantation,No
19636,19636.0,Summary offences - Aviation and Maritime Security Act 1990,No
19637,19637.0,Summary offences - The Plant Protection Products Regulations 2005,No
19638,19638.0,"Summary offences - Housing Act 2004 except SS.72(1),(2)&(6) & 95(1)&(5)",No
19639,19639.0,Summary offences connected with HMO and housing licences,No
19640,19640.0,Summary offences - Clean Neighbourhoods and Environment Act 2005,No
19641,19641.0,Unauthorised free distribution of printed matter,No
19642,19642.0,Summary offences under Chiropractors Act 1994,No
19643,19643.0,Summary offences under Civil Partnership Act 2004 SS.33(3)&(4) & 158,No
19644,19644.0,Failure to comply with litter clearing notice,No
19646,19646.0,Unlawful publication or causing to published an advertisement which indicates an intention to discriminate unlawfully,No
19647,19647.0,Unlawfully and knowingly helping someone to do an act that is unlawful under Part 2 of this Act - Equality Act 2006,No
19648,19648.0,Wilfully delaying or obstructing officer of the Inland Revenue in pursuance of power to inspect premises,No
19649,19649.0,Possessing a pesticide containing a prescribed ingredient,No
19650,19650.0,Contravention of prohibition imposed by Article 3 or 4 - Trade in Goods (Control) Order 2003,No
19651,19651.0,Infringing the prohibition on acceptance of technical assistance etc.,No
19652,19652.0,"Summary offences Plant Protection Products Regulations 2005 RR.14(2), 16(5)&(6) 21(3) & 22(2)",No
19653,19653.0,"Summary offences Pensions Act 2004 SS.14(2), 16(5) & (6), 21 (3)&22(2)",No
19654,19654.0,"Supplying, offering, agreeing, exposing or possessing to supply furniture which did not satisfy Sch.1 of the Regs.",No
19657.0,19657.0,Obstructing or failing to assist execution of DPA warrant or Europol systems inspection,No
19658,19658.0,Summary offences except S.54A & Sch.9 para 12 Data Protection Act 1998 S.60,No
19659,19659.0,Summary offences Terrorism (United Nations Measures) Order 2006 A.2(3); Sch.1 P.4,No
19660,19660.0,"Summary offences (except S.85) Childcare Act 2006 SS.33(7)&(8),34(5) &(6),38 (5)&(6),43(3),52 (7),53(5)&(6),58 (5)&(6), 59(7),66 (5)&(6), 69(9)& (10),76 (2),(3), (4)&(7)& 77(8)&(9)",No
19661,19661.0,Summary Offences Plastic Materials and Articles in Contact with Food (England) (No.2) Regulations 2006 R.15 (2)(b),No
19662,19662.0,"Summary offences under Care Standards Act 2006 SS.11(1), (5)(a) & (b) & 6(a) & (b), 24, 25, 26 (1), (3) & (4), 27, 28, 31(9) (a)&(b) & 61; Sch.3 P.5(1)& (4)",No
19663,19663.0,Summary offences under General Product Safety Regulations 2005,No
19664,19664.0,Occupier or person concerned in management of smoke-free premises failing to comply with duty to ensure notices are displayed,No
19665,19665.0,Smoking in a smoke-free place,No
19666,19666.0,Occupier or person concerned in management of smoke-free premises failing in duty to cause person smoking there to stop,No
19667,19667.0,Failing to comply with requirement imposed by SS.46 or 47 Health Act 2006,No
19668,19668.0,Selling a weapon by way of trade or business when transaction not face to face,Yes
19669,19669.0,Firing an air weapon beyond premises,Yes
19670,19670.0,"Selling, buying or attempting to buy a primer or empty cartridge case incorporating a primer",Yes
19671,19671.0,Manufacturing or selling a realistic imitation firearm; modifying an imitation firearm so it becomes a realistic imitation firearm; or bringing or causing to be brought a realistic imitation firearm into GB,Yes
19672,19672.0,Person under 18 purchasing an imitation firearm; selling an imitation firearm to person under 18,Yes
19673,19673.0,Obstructing or hindering another while he/she is responding or assisting a third person responding in S.1(2) capacity to emergency circumstances - Emergency Workers (Obstruction) Act 2006,Yes
19674,19674.0,Engaging in regulated activity when subject to monitoring; engaging in Sch.4 regulated activity when not monitored in relation to regulated activity relating to children - Safeguarding Vulnerable Groups Act 2006,No
19675,19675.0,Acting as member of governing body of S.8(5) educational establishment when not monitored about regulated activity concerning children - Safeguarding Vulnerable Groups Act 2006,No
19676,19676.0,Regulated activity provider permitting a person to engage in regulated activity in relation to which person is not subject to monitoring; personnel supplier supplying a person knowing that that person will then engage in regulated activity in relation to which he is not subject to monitoring,No
19677,19677.0,Regulated activity provider failing to ascertain if person permitted to engage in regulated activity which was subject to monitoring; knowingly or recklessly providing Sch.5 written confirmation that is false in any material respect,No
19678,19678.0,Educational establishment: failure to check on members of governing body,No
19679,19679.0,Contravening regulations in relation to office holders,No
19680,19680.0,Permitting an unmonitored individual to engage in a regulated activity while acting or appearing to act for regulated provider; supplying an unmonitored individual to engage in regulated activity while acting or appearing to act for personnel supplier,No
19681,19681.0,Contravene regulations in relation to a controlled activity,No
19682,19682.0,"Requiring another or third party to supply relevant record in connection with recruitment or continued employment or provision of goods, facilities or services to the public",No
19683,19683.0,Offences in relation to employment businesses: failure to check,No
19684,19684.0,Specification for imitation firearms,Yes
19685,19685.0,Summary offences in relation to manufacture of tobacco products,No
19686,19686.0,"Failing to comply with County Courts Act 1984 S.117J(2), (3) & (4) as inserted by Tribunals, Courts and Enforcement Act 2007",No
19687,19687.0,Failure to comply with overcrowding order or obstructing a relevant person in performance of anything required by Parts 1 to 4 of this Act - Housing Act 2004,No
19688,19688.0,Remaining on or entering premises in contravention of Part 1A closure notice - Anti-Social Behaviour Act 2003,No
19689,19689.0,Obstructing a person acting under S.11A(7) or 11C(20) - Anti-Social Behaviour Act 2003,No
19690,19690.0,Remaining on closed premises - Anti-Social Behaviour Act 2003,No
19691,19691.0,Entering closed premises - Anti-Social Behaviour Act 2003,No
19692,19692.0,Intentionally encouraging or assisting commission of a summary offence,No
19693,19693.0,Encouraging or assisting in the commission of a summary offence believing it will be committed (Serious Crime Act 2007),No
19694,19694.0,"Offences under regulation 47, 48, or 50(2) - Electromagnetic Compatibility Regulations 2006",No
19695,19695.0,"Offences under regulation 46, 49, 50(1) or 51 - Electromagnetic Compatibility Regulations 2006",No
19696,19696.0,Contravening or failing to comply with Regulations 5(1) or 12 - Radio Equipment and Telecommunications Terminal Equipment Regulations 2000,No
19697,19697.0,Failure to supply or retain a copy of appropriate documentation as required by Regulation 9(3) - Radio Equipment and Telecommunications Terminal Equipment Regulations 2000,No
19698.0,19698.0,Summary offences under Marine and Coastal Access Act 2009,No
19701,19701.0,Summary offences under these regulations - Conservation of Habitats and Species Regulations 2010,No
19717,19717,Unauthorised recording/transmission of court proceedings broadcast or video/audio link,No
50100,50100.0,Order to enter into recognizances or find sureties to keep the peace or to find sureties for good behaviour (bound over) - made on complaint when no offence has been charged,No
50200,50200.0,Banning orders made on complaint (SS.14B and 21(B)) and banning orders arising out of offences outside England and Wales (S.22),Yes
50300,50300.0,Sexual Offences Prevention Order (SOPO) or Interim Order made on application by police,No
50400,50400.0,Risk of Sexual Harm Order (RSHO) or Interim RSHO made on application by police,No
80200,80200.0,"Aiding, abetting, causing or permitting reckless driving",No
80300,80300.0,Driving etc after consuming alcohol or taking drugs    [Use this code only if you are unable to determine which subcoded Offence applies],No
80301,80301.0,Driving or attempting to drive a motor vehicle whilst unfit through drink or drugs (impairment),No
80302,80302.0,"Driving or attempting to drive a motor vehicle while having a breath, urine or blood alcohol concentration in excess of the prescribed limit",No
80303,80303.0,Failing without reasonable excuse to provide a specimen for a laboratory test or two specimens for analysis of breath if at the relevant time driving or attempting to drive a motor vehicle,No
